customer_email,customer_name,age,monthly_income_eur,tenure_months,discount_sensitivity,engagement_score,total_orders_12m,total_revenue_12m,arpu_12m,recency_days_last_purchase,impressions_90d,clicks_90d,conversions_90d,spend_90d,opened_emails_90d,clicked_emails_90d,churned,nps,country,gender,channel_preference,product_category_top
user_220@example.com,Customer Name 220,29,5103,47,-1.6145803985364602,2.026218008343411,27,1774.28,147.86,109,1774,74,11,248.27,6,2,0,8,IT,male,sms,mobile
user_710@example.com,Customer Name 710,61,1502,59,0.6910155628523448,0.6764303398900602,11,730.24,60.85,23,1460,143,25,629.67,0,0,0,4,ES,female,web_display,mobile
user_111@example.com,Customer Name 111,28,5087,79,-1.1782671190839409,1.0749371093900386,28,1854.1499999999999,154.51,23,395,18,0,124.51,2,0,0,6,IT,male,web_display,internet
user_1171@example.com,Customer Name 1171,36,2377,45,2.377196783235436,-0.09851528544758709,7,314.09,26.17,55,1029,17,4,73.72,22,10,0,2,IT,female,social,internet
user_752@example.com,Customer Name 752,58,1059,51,2.2324338699130974,-0.6377876243122744,15,775.0,64.58,29,351,49,8,467.87,23,5,0,4,ES,male,web_display,internet
user_992@example.com,Customer Name 992,20,5851,52,0.04098332939325622,0.6336535443316407,45,2481.21,206.77,60,1910,133,10,615.16,23,8,0,2,IT,male,push_app,bundle
user_887@example.com,Customer Name 887,35,7997,75,-1.0477377941265065,1.6934464074275177,41,1657.92,138.16,37,107,2,0,136.25,23,8,0,9,DE,male,sms,mobile
user_838@example.com,Customer Name 838,27,3176,99,-1.0258262752631566,-0.8347922907828428,6,240.51,20.04,29,1748,231,48,1179.34,5,0,1,3,DE,male,push_app,bundle
user_1114@example.com,Customer Name 1114,30,878,56,2.263208099318554,1.548620415100245,17,326.67,27.22,17,1184,124,36,347.84,5,1,0,4,FR,female,social,mobile
user_502@example.com,Customer Name 502,56,5872,100,-1.5701288427032858,1.8199072251024873,44,1072.42,89.37,6,240,31,2,344.17,20,2,0,8,NL,male,push_app,mobile
user_646@example.com,Customer Name 646,31,4907,46,-0.03834866211612109,-1.3680357311644658,4,162.89,13.57,47,387,57,13,322.94,23,5,0,10,FR,male,push_app,bundle
user_55@example.com,Customer Name 55,19,7614,115,-1.1784456917815536,2.08275704858189,60,3405.9,283.82,21,1980,31,9,339.94,6,1,0,4,IT,male,web_display,tv
user_50@example.com,Customer Name 50,42,5384,17,-1.6455322175747902,2.266110674652335,35,2114.45,176.2,24,1973,26,2,343.82,6,2,0,8,ES,female,push_app,mobile
user_280@example.com,Customer Name 280,28,1404,100,1.0552251064401532,0.12230081916777935,17,1109.37,92.45,47,1859,250,13,1158.9399999999998,12,1,0,5,ES,male,social,mobile
user_1024@example.com,Customer Name 1024,69,1688,83,1.0779435915529731,-0.13845996115398213,14,1070.13,89.18,147,860,106,5,523.16,13,1,0,3,FR,female,web_display,tv
user_295@example.com,Customer Name 295,19,926,111,-1.0206534685068067,-1.0482378690021854,6,166.05,13.84,14,1655,109,26,232.62,17,6,1,4,DE,male,social,bundle
user_252@example.com,Customer Name 252,23,4590,56,-0.014673769871792003,2.6670771059108755,54,1805.3200000000002,150.44,19,548,14,2,55.56999999999999,2,0,0,8,NL,male,social,mobile
user_200@example.com,Customer Name 200,56,2089,86,1.7872571081790367,0.2361527726622695,11,558.0799999999999,46.51,30,389,44,1,404.24,25,1,0,2,FR,female,sms,internet
user_864@example.com,Customer Name 864,29,5962,62,-1.3365249782585298,1.3232987280482904,33,721.47,60.12,6,1159,150,42,497.81000000000006,28,12,0,6,IT,male,social,mobile
user_613@example.com,Customer Name 613,35,989,38,1.2543359499226796,-0.4226950563289793,11,385.26,32.11,61,1010,25,4,104.1,2,0,0,2,DE,male,sms,bundle
user_928@example.com,Customer Name 928,21,4516,70,-0.1254408421806365,1.6724794974781758,29,1645.31,137.11,17,248,24,2,163.94,13,2,0,9,ES,female,web_display,bundle
user_1144@example.com,Customer Name 1144,62,2419,85,1.773414191497529,0.4257462956070981,25,1427.6,118.97,15,707,63,2,358.5,28,12,0,7,NL,male,sms,tv
